Name,Description,Primary database model,Secondary database models,DB-Engines Ranking Trend Chart,Website,Technical documentation,Developer,Initial release,Current release,License,Cloud-based only,DBaaS offerings (sponsored links),Implementation language,Server operating systems,Data scheme,Typing,XML support,Secondary indexes,SQL,APIs and other access methods,Supported programming languages,Server-side scripts,Triggers,Partitioning methods,Replication methods,MapReduce,Consistency concepts,Foreign keys,Transaction concepts,Concurrency,Durability,In-memory capabilities,User concepts
XTDB,A general purpose database with bitemporal SQL and Datalog and graph queries,Document store,,"Score,0.18,Rank,#336,Overall,#49,Document stores","github.com/xtdb/xtdb,xtdb.com",xtdb.com/docs,Juxt Ltd.,2019.0,"1.19, September 2021",Open Source,no,,Clojure,"All OS with a Java 8 (and higher) VM,Linux",schema-free,"yes, extensible-data-notation format",no,yes,"limited SQL, making use of Apache Calcite","HTTP REST,JDBC","Clojure,Java",no,no,none,"yes, each node contains all data",no,,no,ACID,yes,"yes, flexibel persistency by using storage technologies like Apache Kafka,,RocksDB,or,LMDB",,
HGraphDB,"HGraphDB is a client layer for using,HBase,as a graph database by implementing the Tinkerpop 3 interfaces",Graph DBMS,,"Score,0.17,Rank,#346,Overall,#35,Graph DBMS",github.com/rayokota/hgraphdb,,,2016.0,,Open Source,no,,,,,,,,,,,,,,,,,,,,,,
Warp 10,"TimeSeries DBMS specialized on timestamped geo data based on,LevelDB,or,HBase",Time Series DBMS,,"Score,0.15,Rank,#347,Overall,#32,Time Series DBMS",www.warp10.io,www.warp10.io/content/02_Getting_started,SenX,2015.0,,Open Source,no,,Java,"Linux,OS X,Windows",schema-free,yes,no,no,no,"HTTP API,Jupyter,WebSocket",,yes,no,Sharding,selectable replication factor,no,Immediate Consistency,no,no,yes,yes,yes,"Mandatory use of cryptographic tokens, containing fine-grained authorizations"
Dydra,,RDF store,,"Score,0.14,Rank,#348,Overall,#19,RDF stores",dydra.com/about,,,2010.0,,commercial,no,,,,,,,,,,,,,,,,,,,,,,
Fujitsu Enterprise Postgres,"Enterprise-grade,PostgreSQL,-based DBMS with security enhancements such as Transparent Data Encryption and Data Masking, plus high-availability and performance improvement features.",Relational DBMS,"Document store,Spatial DBMS","Score,0.14,Rank,#349,Overall,#148,Relational DBMS",fast.fujitsu.com,fast.fujitsu.com/product-manuals,"PostgreSQL Global Development Group, Fujitsu Australia Software Technology",,"Fujitsu Enterprise Postgres 14, January 2022",commercial,no,,C,"Linux,Windows",yes,yes,,yes,yes,"ADO.NET,JDBC,native C library,ODBC,streaming API for large objects",".Net,C,C++,Delphi,Java,JavaScript (Node.js),Perl,PHP,Python,Tcl",user defined functions,yes,"partitioning by range, list and by hash",Source-replica replication,no,Immediate Consistency,yes,ACID,"yes, multi-version concurrency control (MVCC)",yes,,fine grained access rights according to SQL-standard
Siaqodb,,Object oriented DBMS,,"Score,0.13,Rank,#350,Overall,#20,Object oriented DBMS",www.siaqodb.com,,,,,commercial,no,,C#,,,,,,,,,,,,,,,,,,,,
Linter,RDBMS for high security requirements,Relational DBMS,Spatial DBMS,"Score,0.13,Rank,#351,Overall,#149,Relational DBMS",linter.ru/en,,relex.ru/en,1990.0,,commercial,no,,C and C++,"AIX,Android,BSD,HP Open VMS,iOS,Linux,OS X,VxWorks,Windows",yes,yes,no,yes,yes,"ADO.NET,JDBC,LINQ,ODBC,OLE DB,Oracle Call Interface (OCI)","C,C#,C++,Java,Perl,PHP,Python,Qt,Ruby,Tcl",yes,yes,none,Source-replica replication,no,Immediate Consistency,yes,ACID,yes,yes,,fine grained access rights according to SQL-standard
Edge Intelligence,A Big Data Analytics Platform,Relational DBMS,,"Score,0.13,Rank,#352,Overall,#150,Relational DBMS",www.edgeintelligence.com,,,2012.0,,commercial,no,,,,,,,,,,,,,,,,,,,,,,
HyperLevelDB,"A fork of Google's,LevelDB",Key-value store,,"Score,0.13,Rank,#352,Overall,#52,Key-value stores",github.com/rescrv/HyperLevelDB,,,2010.0,,Open Source,no,,,,,,,,,,,,,,,,,,,,,,
iBoxDB,Transactional embedded database for desktop and mobile applications.,Document store,,"Score,0.13,Rank,#352,Overall,#50,Document stores",www.iboxdb.com,,,2013.0,,Open Source,no,,"Java, C#",,,,,,,,,,,,,,,,,,,,
IRONdb,"A distributed,Time Series DBMS,with a focus on scalability, fault tolerance and operational simplicity",Time Series DBMS,,"Score,0.13,Rank,#352,Overall,#33,Time Series DBMS",www.circonus.com/solutions/time-series-database,docs.circonus.com/irondb,Circonus LLC.,2017.0,"V0.10.20, January 2018",commercial,no,,C and C++,Linux,schema-free,yes,no,no,SQL-like query language (Circonus Analytics Query Language: CAQL),HTTP API,".Net,C,C++,Clojure,Erlang,Go,Haskell,Java,JavaScript,JavaScript (Node.js),Lisp,Lua,Perl,PHP,Python,R,Ruby,Rust,Scala","yes, in Lua",no,"Automatic, metric affinity per node","configurable replication factor, datacenter aware",no,"Immediate consistency per node, eventual consistency across nodes",no,no,yes,yes,no,no
JethroData,SQL Query Engine for Hadoop,Relational DBMS,,"Score,0.13,Rank,#352,Overall,#150,Relational DBMS",jethro.io,,JethroData,2013.0,,commercial,no,,,,,,,,,,,,,,,,,,,,,,
NosDB,"Scalable JSON based,document store,for .NET",Document store,,"Score,0.13,Rank,#352,Overall,#50,Document stores",www.alachisoft.com/nosdb,www.alachisoft.com/resources/docs/#nosdb,Alachisoft,2016.0,,Open Source,no,,,,,,,,,,,,,,,,,,,,,,
SenseiDB,,Document store,,"Score,0.13,Rank,#352,Overall,#50,Document stores",senseidb.github.io/sensei,senseidb.github.io/sensei/overview.html,,2010.0,,Open Source,no,,,,,,,,,,,,,,,,,,,,,,
SiriDB,"Open Source,Time Series DBMS",Time Series DBMS,,"Score,0.13,Rank,#352,Overall,#33,Time Series DBMS",siridb.com,docs.siridb.com,Cesbit,2017.0,,Open Source,no,,C,Linux,yes,yes,no,yes,no,HTTP API,"C,C++,Go,Python",no,no,Sharding,yes,no,,no,no,yes,yes,yes,simple rights management via user accounts
ToroDB,"A MongoDB-compatible JSON document store, built on top of PostgreSQL",Document store,,"Score,0.13,Rank,#352,Overall,#50,Document stores",www.torodb.com,www.torodb.com/stampede/docs,8Kdata,2016.0,,Open Source,no,,Java,All OS with a Java 7 VM,schema-free,yes,no,,,,,,no,Sharding,Source-replica replication,,"Eventual Consistency,Immediate Consistency",no,no,yes,yes,,Access rights for users and roles
Upscaledb,"An embedded,key-value store,with SQL-style analytical functions",Key-value store,,"Score,0.13,Rank,#352,Overall,#52,Key-value stores",upscaledb.com,,,2007.0,,Open Source,no,,,,,,,,,,,,,,,,,,,,,,
SmallSQL,,Relational DBMS,,"Score,0.12,Rank,#362,Overall,#152,Relational DBMS",www.smallsql.de,,,2005.0,,Open Source,no,,Java,,,,,,,,,,,,,,,,,,,,
ScaleOut StateServer,,Key-value store,,"Score,0.12,Rank,#363,Overall,#54,Key-value stores",www.scaleoutsoftware.com/products/stateserver,,,2005.0,,commercial,no,,"C++, Java",,,,,,,,,,,,,,,,,,,,
Badger,"An embeddable, persistent, simple and fast,Key-Value Store,, written purely in Go.",Key-value store,,"Score,0.11,Rank,#364,Overall,#55,Key-value stores",github.com/dgraph-io/badger,godoc.org/github.com/dgraph-io/badger,DGraph Labs,2017.0,,Open Source,no,,Go,"BSD,Linux,OS X,Solaris,Windows",schema-free,no,no,no,no,,Go,no,no,none,none,no,none,no,no,yes,yes,no,no
SparkleDB,,RDF store,,"Score,0.11,Rank,#365,Overall,#20,RDF stores",sparkledb.com,,,2012.0,,commercial,no,,,,,,,,,,,,,,,,,,,,,,
Alibaba Cloud TSDB,"A stable, reliable, and cost-effective online high-performance time series database service",Time Series DBMS,,"Score,0.10,Rank,#366,Overall,#35,Time Series DBMS",www.alibabacloud.com/product/hitsdb,www.alibabacloud.com/help/doc-detail/55652.htm,Alibaba,,,commercial,yes,,,hosted,schema-free,Numeric data and Strings,no,no,no,HTTP REST,Java,no,no,,,no,Immediate Consistency,no,no,yes,yes,no,Access managed on TSDB instance level
Resin Cache,Distributed cache as part of an application server,Key-value store,,"Score,0.09,Rank,#367,Overall,#56,Key-value stores",caucho.com,,,1998.0,"4.0.65, July 2020",Open Source,no,,C and Java,,,,,,,,,,,,,,,,,,,,
OushuDB,"A data warehouse powered by,Apache HAWQ,supporting descriptive analysis and advanced machine learning",Relational DBMS,,"Score,0.08,Rank,#368,Overall,#153,Relational DBMS",www.oushu.com/product/oushuDB,www.oushu.com/documentation,Oushu,,"4.0.1, August 2020",commercial,no,,,Linux,yes,yes,,yes,Full-featured ANSI SQL support,"JDBC,ODBC","C,C++",yes,yes,yes,,Hadoop integration,,,ACID,yes,yes,,"Kerberos, SSL and role based access"
SWC-DB,"A high performance, scalable,Wide Column DBMS",Wide column store,Time Series DBMS,"Score,0.07,Rank,#369,Overall,#13,Wide column stores","github.com/kashirin-alex/swc-db,www.swcdb.org",,Alex Kashirin,2020.0,"0.5, April 2021",Open Source,no,,C++,Linux,schema-free,,no,,SQL-like query language,"Proprietary protocol,Thrift",C++,no,no,Sharding,,no,Immediate Consistency,,,yes,yes,no,
AgensGraph,"Multi-model database supporting relational and graph data models and built upon,PostgreSQL","Graph DBMS,Relational DBMS",,"Score,0.07,Rank,#370,Overall,#36,Graph DBMS,#154,Relational DBMS",bitnine.net,bitnine.net/documentation,Bitnine Global Inc.,2016.0,"2.1, December 2018",Open Source,no,,C,"Linux,OS X,Windows",depending on used data model,yes,no,yes,yes,"Cypher Query Language,JDBC","C,Java,JavaScript,Python",yes,no,"no, but can be realized using table inheritance",Source-replica replication,no,Immediate Consistency,yes,ACID,yes,yes,no,fine grained access rights according to SQL-standard
Galaxybase,"Scalable, ACID-compliant native distributed parallel graph platform",Graph DBMS,,"Score,0.06,Rank,#371,Overall,#37,Graph DBMS",galaxybase.com,,"Chuanglin(Createlink) Technology Co., Ltd 浙江创邻科技有限公司",2017.0,"Nov 20, November 2021",commercial,no,,C and Java,Linux,Strong typed schema,yes,no,yes,no,"Browser interface,console (shell),Graph API (Gremlin),OpenCypher,Proprietary native API","Go,Java,Python",user defined procedures and functions,,Sharding,,no,Immediate Consistency,yes,ACID,yes,yes,yes,Role-based access control
Faircom EDGE,"FairCom EDGE is an Industry 4.0 solution built to integrate, collect, aggregate and synchronize mission-critical data in edge computing environments","Key-value store,Relational DBMS",,"Score,0.03,Rank,#372,Overall,#57,Key-value stores,#155,Relational DBMS",www.faircom.com/products/faircomedge-iot-database,learn.faircomcorp.com/developers/documentation_directory,FairCom Corporation,1979.0,"V3, October 2020",commercial,no,,"ANSI C, C++","Android,Linux,Raspbian,Windows","Flexible Schema (defined schema, partial schema, schema free)","yes, ANSI Standard SQL Types",yes,yes,yes,"ADO.NET,Direct SQL,IoT Microservice layer,JDBC,MQTT (Message Queue Telemetry Transport),ODBC,RESTful HTTP API","C,C#,C++,Java,JavaScript,PHP,Python,VB.Net",yes,yes,File partitioning,yes,no,"Immediate Consistency,Tunable Consistency",yes,ACID,yes,yes,yes,"Fine grained user, group and file access rights managed across SQL (per ANSI standard) and NoSQL."
Sadas Engine,SADAS Engine is a columnar DBMS specifically designed for high performance in Data warehouse environments,Relational DBMS,,"Score,0.02,Rank,#373,Overall,#156,Relational DBMS",www.sadasengine.com,www.sadasengine.com/index.php/downloads/documentation-columnar-db,SADAS s.r.l.,2006.0,8.0,commercial,no,,C++,"AIX,Linux,Windows",yes,yes,no,yes,yes,"JDBC,ODBC,Proprietary protocol",".Net,C,C#,C++,Groovy,Java,PHP,Python",no,no,horizontal partitioning,none,no,Immediate Consistency,yes,,yes,yes,yes,"Access rights for users, groups and roles according to SQL-standard"
WakandaDB,WakandaDB is embedded in a server that provides a REST API and a server-side javascript engine to access data,Object oriented DBMS,,"Score,0.02,Rank,#374,Overall,#21,Object oriented DBMS",wakanda.github.io,doc.wakanda.org/home2.en.html#/Datastore/Introduction.200-588937.en.html,Wakanda SAS,2012.0,"2.7.0 (April 29, 2019), April 2019",Open Source,no,,"C++, JavaScript","Linux,OS X,Windows",yes,yes,no,,no,RESTful HTTP API,JavaScript,yes,yes,none,none,no,Immediate Consistency,,ACID,yes,yes,no,yes
JaguarDB,"Performant, highly scalable DBMS for AI and IoT applications",Key-value store,,"Score,0.01,Rank,#375,Overall,#58,Key-value stores",www.datajaguar.com,www.datajaguar.com/support.php,"DataJaguar, Inc.",2015.0,2.9.4 September 2018,Open Source,no,,C++,Linux,yes,yes,no,yes,A subset of ANSI SQL is implemented,"JDBC,ODBC","C,C++,Go,Java,JavaScript (Node.js),PHP,Python,Ruby,Scala",no,no,Sharding,Multi-source replication,no,Eventual Consistency,no,no,yes,yes,no,rights management via user accounts
SwayDB,"An embeddable, non-blocking, type-safe,key-value store,for single or multiple disks and in-memory storage",Key-value store,,"Score,0.00,Rank,#376,Overall,#59,Key-value stores",swaydb.io,,Simer Plaha,2018.0,,Open Source,no,,Scala,,schema-free,no,no,no,no,,"Java,Kotlin,Scala",no,no,none,none,no,Immediate Consistency,no,Atomic execution of operations,yes,yes,yes,no
BergDB,BergDB is a Java/.NET in-process time-key-value store.,Key-value store,,"Score,0.00,Rank,#377,Overall,#60,Key-value stores",bergdb.com,,,2013.0,,Open Source,no,,,,,,,,,,,,,,,,,,,,,,
Cachelot.io,In-memory caching system,Key-value store,,,cachelot.io,,,2015.0,,Open Source,no,,C++,"FreeBSD,Linux,OS X",schema-free,no,no,no,no,Memcached protocol,".Net,C,C++,ColdFusion,Erlang,Java,Lisp,Lua,OCaml,OCaml,Perl,PHP,Python,Ruby",no,no,none,none,no,none,no,no,yes,no,no,no
CortexDB,,"Document store,Key-value store",,"Score,0.00,Rank,#377,Overall,#54,Document stores,#60,Key-value stores",www.cortex-ag.com,,,2014.0,,commercial,no,,,,,,,,,,,,,,,,,,,,,,
CovenantSQL,"A decentralized blockchain,relational DBMS,, built with,SQLite",Relational DBMS,,"Score,0.00,Rank,#377,Overall,#157,Relational DBMS",covenantsql.io,developers.covenantsql.io/docs/en/intro,,2018.0,,Open Source,no,,,,,,,,,,,,,,,,,,,,,,
DaggerDB,Simple olap analytics DBMS built for high performance querying in real time,Relational DBMS,,,www.daggerdb.com,,,2014.0,,commercial,no,,,,,,,,,,,,,,,,,,,,,,
EdgelessDB,"A,MariaDB,-based, confidential,RDBMS,that runs entirely inside runtime-encrypted Intel SGX enclaves",Relational DBMS,,"Score,0.00,Rank,#377,Overall,#157,Relational DBMS","github.com/edgelesssys/edgelessdb,www.edgeless.systems/products/edgelessdb",docs.edgeless.systems/edgelessdb,Edgeless Systems,2021.0,,Open Source,no,,,,,,,,,,,,,,,,,,,,,,
Helium,Cost efficient key-value store,Key-value store,,"Score,0.00,Rank,#377,Overall,#60,Key-value stores",www.levyx.com,,Levyx Inc.,2013.0,,commercial,no,,,,,,,,,,,,,,,,,,,,,,
Indica,Enterprise Search Engine,Search engine,,"Score,0.00,Rank,#377,Overall,#24,Search engines",indica.nl,,,2014.0,,commercial,no,,,,,,,,,,,,,,,,,,,,,,
InfinityDB,"A Java embedded,Key-Value Store,which extends the Java Map interface",Key-value store,,"Score,0.00,Rank,#377,Overall,#60,Key-value stores",boilerbay.com,boilerbay.com/infinitydb/manual,Boiler Bay Inc.,2002.0,4.0,commercial,no,,Java,All OS with a Java VM,yes,yes,no,no,no,"Access via java.util.concurrent.ConcurrentNavigableMap Interface,Proprietary API to InfinityDB ItemSpace (,boilerbay.com/docs/ItemSpaceDataStructures.htm,)",Java,no,no,none,none,no,Immediate Consistency,no,ACID,yes,yes,no,no
JasDB,,Document store,,"Score,0.00,Rank,#377,Overall,#54,Document stores",www.oberasoftware.com/jasdb,,,2014.0,,Open Source,no,,,,,,,,,,,,,,,,,,,,,,
K-DB,"Oracle compatible DBMS for Inspur's own K1 mainframe, available in China",Relational DBMS,,"Score,0.00,Rank,#377,Overall,#157,Relational DBMS",inspur.com,,Inspur Group,,,commercial,no,,,,,,,,,,,,,,,,,,,,,,
Newts,"Time Series DBMS based on,Cassandra",Time Series DBMS,,"Score,0.00,Rank,#377,Overall,#36,Time Series DBMS",opennms.github.io/newts,github.com/OpenNMS/newts/wiki,OpenNMS Group,2014.0,,Open Source,no,,Java,"Linux,OS X,Windows",schema-free,yes,no,no,no,"HTTP REST,Java API",Java,no,no,Sharding,selectable replication factor,no,"Eventual Consistency,Immediate Consistency",no,no,yes,yes,no,no
NSDb,"Scalable, High-performance,Time Series DBMS,designed for Real-time Analytics on top of Kubernetes",Time Series DBMS,,"Score,0.00,Rank,#377,Overall,#36,Time Series DBMS",nsdb.io,nsdb.io/Architecture,,2017.0,,Open Source,no,,"Java, Scala","Linux,macOS",,"yes: int, bigint, decimal, string",no,all fields are automatically indexed,SQL-like query language,"gRPC,HTTP REST,WebSocket","Java,Scala",no,,Sharding,,no,Eventual Consistency,no,no,yes,Using Apache Lucene,,
Rizhiyi,"Used for unified collecting, indexing, and searching of log file data",Search engine,Time Series DBMS,,www.rizhiyi.com,,Rizhiyi,2014.0,,commercial,no,,,,,,,,,,,,,,,,,,,,,,
searchxml,DBMS for structured and unstructured content wrapped with an application server,"Native XML DBMS,Search engine",,"Score,0.00,Rank,#377,Overall,#7,Native XML DBMS,#24,Search engines",www.searchxml.net/category/products,www.searchxml.net/support/handouts,informationpartners gmbh,2015.0,1.0,commercial,no,,C++,Windows,schema-free,yes,yes,yes,no,"RESTful HTTP API,WebDAV,XQuery,XSLT",C++,yes,no,none,yes,no,Immediate Consistency,no,"multiple readers, single writer",yes,yes,no,"Domain, group and role-based access control at the document level and for application services"
SpaceTime,SpaceTime is a spatio-temporal DBMS with a focus on performance.,Spatial DBMS,Relational DBMS,"Score,0.00,Rank,#377,Overall,#6,Spatial DBMS",www.mireo.hr/spacetime,,Mireo,2020.0,,commercial,no,,C++,Linux,yes,yes,no,no,A subset of ANSI SQL is implemented,RESTful HTTP API,"C#,C++,Python",no,no,Fixed-grid hypercubes,Real-time block device replication (DRBD),no,Immediate Consistency,no,no,yes,yes,no,yes
Tkrzw,"A concept of libraries, allowing an application program to store and query key-value pairs in a file. Successor of,Tokyo Cabinet,and,Kyoto Cabinet",Key-value store,,"Score,0.00,Rank,#377,Overall,#60,Key-value stores",dbmx.net/tkrzw,,Mikio Hirabayashi,2020.0,"0.9.3, August 2020",Open Source,no,,C++,"Linux,macOS",schema-free,no,no,,no,,"C++,Java,Python,Ruby",no,no,none,none,no,Immediate Consistency,no,,yes,yes,yes,no
Transwarp ArgoDB,Distributed Analytical Database to replace Hadoop+MPP hybrid architecture,Relational DBMS,Search engine,"Score,0.00,Rank,#377,Overall,#157,Relational DBMS",www.transwarp.cn/en/product/argodb,docs.transwarp.cn/#/documents-support/docs?category=ARGODB,Transwarp,,,commercial,no,,,,yes,yes,,yes,yes,,,,,,,,,,,yes,yes,,
Transwarp StellarDB,A distributed graph DBMS built for enterprise-level graph applications,Graph DBMS,,"Score,0.00,Rank,#377,Overall,#38,Graph DBMS",www.transwarp.cn/en/product/stellardb,,Transwarp,,,commercial,no,,,,,,,,SQL-like query language,OpenCypher,,,,horizontal partitioning,,,,,,yes,yes,,yes
Yaacomo,"OpenCL based in-memory,RDBMS,, designed for efficiently utilizing the hardware via parallel computing",Relational DBMS,,"Score,0.00,Rank,#377,Overall,#157,Relational DBMS",yaacomo.com,,Q2WEB GmbH,2009.0,,commercial,no,,,"Android,Linux,Windows",yes,yes,no,yes,yes,"JDBC,ODBC",,,yes,horizontal partitioning,Source-replica replication,no,Immediate Consistency,yes,ACID,yes,yes,yes,fine grained access rights according to SQL-standard
Yanza,Time Series DBMS for IoT Applications,Time Series DBMS,,"Score,0.00,Rank,#377,Overall,#36,Time Series DBMS",yanza.com,,Yanza,2015.0,,commercial,no,,,Windows,schema-free,no,no,no,no,HTTP API,any language that supports HTTP calls,no,yes,none,none,no,Immediate Consistency,no,no,yes,yes,,no
